台帳ID,管理対象ID,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,都道府県,所在地,保管施設の名称,所有者名,管理団体又は責任者,緯度,経度
"101","00000954","金澤家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19981211","","東京都","東京都文京区西片2-2-7","","","","35.71391797","139.75618297"
"101","00000956","金澤家住宅門及び塀","","登録有形文化財(建造物)","住宅","その他工作物","","昭和前","19981211","","東京都","東京都文京区西片2-2-7","","","","35.71398577","139.75605554"
"101","00000955","金澤家住宅洋館","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19981211","","東京都","東京都文京区西片2-2-7","","","","35.71400211","139.75615438"
"101","00010425","栗原家住宅稲荷社及び石鳥居","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20150326","","東京都","東京都新宿区中井2-1981-1","","","","35.71728800","139.68655300"
"101","00010423","栗原家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20150326","","東京都","東京都新宿区中井2-1981","","","","35.71741800","139.68666500"
"101","00010424","栗原家住宅蔵","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20150326","","東京都","東京都新宿区中井2-1981","","合名会社栗原商店","","35.71739100","139.68653300"
"101","00010426","栗原家住宅門柱及び塀","","登録有形文化財(建造物)","住宅","その他工作物","","昭和前","20150326","","東京都","東京都新宿区中井2-1981-1","","","","35.71724919","139.68686010"
"101","00007883","幻戯山房（旧角川家住宅主屋）","","登録有形文化財(建造物)","住宅","建築物","","昭和中","20091102","","東京都","東京都杉並区荻窪3-728","","","","35.69882287","139.62446068"
"101","00000393","古宇田家住宅","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19971212","","東京都","東京都杉並区南荻窪3-16-9","","","","35.70224375","139.61081416"
"101","00008654","虎ノ門大坂屋砂場店舗","","登録有形文化財(建造物)","産業3次","建築物","","大正","20110725","","東京都","東京都港区虎ノ門1-21","","","","35.66822156","139.75069122"
"101","00011891","五島美術館古経楼","","登録有形文化財(建造物)","住宅","建築物","","大正","","","東京都","東京都世田谷区上野毛三丁目110-7","","公益財団法人五島美術館","","35.61177083","139.63789194"
"101","00011890","五島美術館冨士見亭","","登録有形文化財(建造物)","住宅","建築物","","昭和中","","","東京都","東京都世田谷区上野毛三丁目110-7","","公益財団法人五島美術館","","35.61177083","139.63789194"
"101","00011889","五島美術館本館","","登録有形文化財(建造物)","文化福祉","建築物","","昭和中","","","東京都","東京都世田谷区上野毛三丁目112-3他","","公益財団法人五島美術館","","35.61177083","139.63789194"
"101","00010927","御嶽神社社務所","","登録有形文化財(建造物)","宗教","建築物","","昭和前","20160225","","東京都","東京都大田区北嶺町145-1他","","宗教法人御嶽神社","","35.58609100","139.68107100"
"101","00010926","御嶽神社水行堂","","登録有形文化財(建造物)","宗教","建築物","","江戸","20160225","","東京都","東京都大田区北嶺町145-1他","","宗教法人御嶽神社","","35.58617700","139.68115000"
"101","00010925","御嶽神社末社一山神社祖霊社","","登録有形文化財(建造物)","宗教","建築物","","明治","20160225","","東京都","東京都大田区北嶺町145-1他","","宗教法人御嶽神社","","35.58632100","139.68114500"
"101","00010123","功運寺庫裏","","登録有形文化財(建造物)","宗教","建築物","","大正","20141007","","東京都","東京都中野区上高田4-14-19","","宗教法人功運寺","","35.71236700","139.67836100"
"101","00010125","功運寺山門","","登録有形文化財(建造物)","宗教","その他工作","","大正","20141007","","東京都","東京都中野区上高田4-14-3","","宗教法人功運寺","","35.71190500","139.67841400"
"101","00010124","功運寺鐘楼","","登録有形文化財(建造物)","宗教","その他工作","","江戸","20141007","","東京都","東京都中野区上高田4-14-3","","宗教法人功運寺","","35.71213400","139.67838000"
"101","00009907","江戸屋店舗兼住宅","","登録有形文化財(建造物)","産業3次","建築物","","大正","20140425","","東京都","東京都中央区日本橋大伝馬町1-5","","","","35.68933491","139.77807344"
"101","00007459","高岩寺本堂","","登録有形文化財(建造物)","宗教","建築物","","昭和中","20090108","","東京都","東京都豊島区巣鴨3-51-2","","宗教法人高岩寺","","35.73580911","139.73551071"
"101","00008657","高橋建築事務所社屋","","登録有形文化財(建造物)","産業3次","建築物","","昭和前","20110725","","東京都","東京都新宿区矢来町114","","株式会社高橋建築事務所","","35.70392396","139.73468167"
"101","00001498","高橋診療所","","登録有形文化財(建造物)","文化福祉","建築物","","昭和前","20000215","","東京都","東京都大田区山王3-30-5","","","","35.58627300","139.72604400"
"101","00009909","高村家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和中","20140425","","東京都","東京都文京区千駄木5-155","","","","35.72736262","139.75968299"
"101","00001368","国際基督教大学泰山荘高風居","","登録有形文化財(建造物)","住宅","建築物","","明治","19991014","","東京都","東京都三鷹市大沢3-10-2","","学校法人国際基督教大学","","35.68486800","139.52781772"
"101","00001372","国際基督教大学泰山荘車庫","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19991014","","東京都","東京都三鷹市大沢3-10-2","","学校法人国際基督教大学","","35.68554765","139.52732813"
"101","00001369","国際基督教大学泰山荘書院","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19991014","","東京都","東京都三鷹市大沢3-10-2","","学校法人国際基督教大学","","35.68540275","139.52796596"
"101","00001371","国際基督教大学泰山荘蔵","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19991014","","東京都","東京都三鷹市大沢3-10-2","","学校法人国際基督教大学","","35.68552479","139.52806475"
"101","00001370","国際基督教大学泰山荘待合","","登録有形文化財(建造物)","住宅","建築物","","江戸","19991014","","東京都","東京都三鷹市大沢3-10-2","","学校法人国際基督教大学","","35.68532279","139.52726700"
"101","00001373","国際基督教大学泰山荘表門","","登録有形文化財(建造物)","住宅","その他工作","","昭和前","19991014","","東京都","東京都三鷹市大沢3-10-2","","学校法人国際基督教大学","","35.68578227","139.52763155"
"101","00005585","国際文化会館本館","","登録有形文化財(建造物)","文化福祉","建築物","","昭和中","20060803","","東京都","東京都港区六本木5-11-16","","公益財団法人国際文化会館","","35.65852615","139.73336800"
"101","00011888","国士舘大講堂","","登録有形文化財(建造物)","学校","建築物","","大正","","","東京都","東京都世田谷区世田谷四丁目1000-1","","学校法人國士館","","35.64274583","139.65476389"
"101","00009916","国立天文台ゴーチェ子午環室","","登録有形文化財(建造物)","文化福祉","建築物","","大正","20140425","","東京都","東京都三鷹市大沢2-1007-1","","大学共同利用機関法人自然科学研究機構","","35.67494286","139.53590987"
"101","00009915","国立天文台レプソルド子午儀室","","登録有形文化財(建造物)","文化福祉","建築物","","大正","20140425","","東京都","東京都三鷹市大沢2-1007-1","","大学共同利用機関法人自然科学研究機構","","35.67495839","139.53640523"
"101","00009919","国立天文台旧図庫及び倉庫","","登録有形文化財(建造物)","文化福祉","建築物","","昭和前","20140425","","東京都","東京都三鷹市大沢2-1007-1","","大学共同利用機関法人自然科学研究機構","","35.67486706","139.53694000"
"101","00000565","国立天文台太陽分光写真儀室","","登録有形文化財(建造物)","文化福祉","建築物","","昭和前","19980723","","東京都","東京都三鷹市大沢2-21-1","","大学共同利用機関法人自然科学研究機構","","35.67334614","139.53671255"
"101","00002620","国立天文台大赤道儀室","","登録有形文化財(建造物)","文化福祉","建築物","","大正","20020214","","東京都","東京都三鷹市大沢2-21-1","","大学共同利用機関法人自然科学研究機構","","35.67427400","139.53674300"
"101","00009917","国立天文台第一子午線標室","","登録有形文化財(建造物)","文化福祉","建築物","","大正","20140425","","東京都","東京都三鷹市大沢2-1007-1","","大学共同利用機関法人自然科学研究機構","","35.67424257","139.53529576"
"101","00002621","国立天文台第一赤道儀室","","登録有形文化財(建造物)","文化福祉","建築物","","大正","20020214","","東京都","東京都三鷹市大沢2-21-1","","大学共同利用機関法人自然科学研究機構","","35.67427400","139.53855900"
"101","00009918","国立天文台第二子午線標室","","登録有形文化財(建造物)","文化福祉","建築物","","大正","20140425","","東京都","東京都三鷹市大沢2-1007-1","","大学共同利用機関法人自然科学研究機構","","35.67577610","139.53575114"
"101","00009921","国立天文台表門","","登録有形文化財(建造物)","文化福祉","その他工作","","大正","20140425","","東京都","東京都三鷹市大沢2-1007-1","","大学共同利用機関法人自然科学研究機構","","35.67514943","139.53887173"
"101","00009920","国立天文台門衛所","","登録有形文化財(建造物)","文化福祉","建築物","","大正","20140425","","東京都","東京都三鷹市大沢2-1007-1","","大学共同利用機関法人自然科学研究機構","","35.67526010","139.53877925"
"101","00004948","黒沢ビル","","登録有形文化財(建造物)","文化福祉","建築物","","昭和前","20051110","","東京都","東京都台東区上野2-40","","","","35.70906486","139.77054044"
"101","00003528","今半別館玄関棟","","登録有形文化財(建造物)","産業3次","建築物","","昭和中","20030919","","東京都","東京都台東区浅草2-2-5","","","","35.71311120","139.79683051"
"101","00003529","今半別館南棟","","登録有形文化財(建造物)","産業3次","建築物","","昭和中","20030919","","東京都","東京都台東区浅草2-2-5","","","","35.71305568","139.79690513"
"101","00003530","今半別館北棟","","登録有形文化財(建造物)","産業3次","建築物","","昭和中","20030919","","東京都","東京都台東区浅草2-2-5","","","","35.71315637","139.79691847"
"101","00007979","佐々木家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20100115","","東京都","東京都練馬区小竹町1-36-11","","","","35.73826510","139.67629879"
"101","00010122","細井家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20141007","","東京都","東京都中野区上高田3-6","","","","35.71294900","139.67455400"
"101","00003952","坂間家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20040302","","東京都","東京都世田谷区下馬6-77-8","","","","35.62861405","139.68051505"
"101","00010126","三岸家住宅アトリエ","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20141007","","東京都","東京都中野区上鷺宮2-407","","","","35.72704700","139.63656100"
"101","00003951","三橋家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20040302","","東京都","東京都大田区久が原6-6-4","","株式会社東興開発","","35.57639442","139.69160577"
"101","00002018","三菱電機高輪荘主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20001204","","東京都","東京都港区白金台2-6-11","","三菱電機株式会社","","35.63579189","139.73067507"
"101","00002020","三菱電機高輪荘蔵","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20001204","","東京都","東京都港区白金台2-6-11","","三菱電機株式会社","","35.63584262","139.73043245"
"101","00002019","三菱電機高輪荘洋館","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20001204","","東京都","東京都港区白金台2-6-11","","三菱電機株式会社","","35.63574445","139.73041513"
"101","00004528","山本歯科医院","","登録有形文化財(建造物)","文化福祉","建築物","","昭和前","20050209","","東京都","東京都千代田区神田須田町1-3-3","","","","35.69608772","139.76918079"
"101","00005595","山﨑家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20060803","","東京都","東京都大田区西嶺町33-9","","","","35.58197207","139.67788760"
"101","00011655","山﨑家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","大正","20170628","","東京都","東京都文京区小石川五丁目19-33他","","","","35.71926000","139.73858694"
"101","00005108","市田家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20051226","","東京都","東京都台東区上野桜木1-6-2","","","","35.72005061","139.77095238"
"101","00005109","市田家住宅蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","20051226","","東京都","東京都台東区上野桜木1-6-2","","","","35.72006113","139.77083675"
"101","00005110","市田家住宅表門","","登録有形文化財(建造物)","住宅","その他工作","","明治","20051226","","東京都","東京都台東区上野桜木1-6-2","","","","35.71994466","139.77097519"
"101","00005111","市田家住宅裏門","","登録有形文化財(建造物)","住宅","その他工作","","明治","20051226","","東京都","東京都台東区上野桜木1-6-2","","","","35.72014056","139.77089011"
"101","00005932","志村家住宅門及び石垣","","登録有形文化財(建造物)","住宅","その他工作","","昭和前","20061129","","東京都","東京都世田谷区成城3-6-16","","","","35.63738434","139.59569149"
"101","00011885","私の家（清家清自邸）","","登録有形文化財(建造物)","住宅","建築物","","昭和中","","","東京都","東京都大田区東雪谷三丁目519","","","","35.59608194","139.68902000"
"101","00003202","実相寺本堂","","登録有形文化財(建造物)","宗教","建築物","","昭和前","20030318","","東京都","東京都大田区池上2-10-17","","宗教法人実相寺","","35.58002100","139.70291100"
"101","00003203","実相寺門","","登録有形文化財(建造物)","宗教","その他工作","","昭和前","20030318","","東京都","東京都大田区池上2-10-17","","宗教法人実相寺","","35.57990600","139.70272800"
"101","00009439","蛇の湯温泉たから荘","","登録有形文化財(建造物)","住宅","建築物","","江戸","20130329","","東京都","東京都西多摩郡檜原村字数馬2465-1","","","","35.72621545","139.04980339"
"101","00001497","守屋家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20000215","","東京都","東京都大田区大森北3-22-26","","","","35.58250000","139.73144500"
"101","00009912","秋山家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20140425","","東京都","東京都世田谷区粕谷2-206他","","","","35.66374253","139.61228682"
"101","00009913","秋山家住宅土蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","20140425","","東京都","東京都世田谷区粕谷2-206他","","","","35.66371699","139.61212681"
"101","00001566","渋谷区立広尾小学校","","登録有形文化財(建造物)","学校","建築物","","昭和前","20000428","","東京都","東京都渋谷区東3-3-3","","渋谷区","","35.65182500","139.71214300"
"101","00009438","小宮家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20130329","","東京都","東京都西東京市ひばりが丘1-1568-3","","","","35.74996779","139.54091450"
"101","00008418","小池家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20110126","","東京都","東京都品川区北品川5-740-10","","","","35.62074226","139.73491029"
"101","00002759","昭和のくらし博物館（旧小泉家住宅主屋）","","登録有形文化財(建造物)","住宅","建築物","","昭和中","20020625","","東京都","東京都大田区南久が原2-26-19","","","","35.57524500","139.68582200"
"101","00003199","松風荘主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20030318","","東京都","東京都大田区南千束2-25-6","","東洋海事工業株式会社","","35.60134845","139.68882800"
"101","00003200","松風荘待合","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20030318","","東京都","東京都大田区南千束2-25-6","","東洋海事工業株式会社","","35.60123400","139.68859900"
"101","00003201","松風荘門","","登録有形文化財(建造物)","住宅","その他工作","","昭和前","20030318","","東京都","東京都大田区南千束2-25-6","","東洋海事工業株式会社","","35.60118489","139.68881635"
"101","00001657","松本家住宅主屋","","登録有形文化財(建造物)","産業3次","建築物","","昭和前","20000428","","東京都","東京都千代田区神田多町2-9","","","","35.69429638","139.76894818"
"101","00007192","照田家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和中","20080708","","東京都","東京都墨田区緑2-8-4","","","","35.69377744","139.80056627"
"101","00011894","上宮寺鐘楼","","登録有形文化財(建造物)","宗教","その他工作物","","大正","","","東京都","東京都渋谷区広尾五丁目2-2","","宗教法人上宮寺","","35.65062583","139.72071500"
"101","00011892","上宮寺本堂","","登録有形文化財(建造物)","宗教","建築物","","大正","","","東京都","東京都渋谷区広尾五丁目2-2","","宗教法人上宮寺","","35.65062583","139.72071500"
"101","00011893","上宮寺本堂応接部","","登録有形文化財(建造物)","宗教","建築物","","大正","","","東京都","東京都渋谷区広尾五丁目2-2","","宗教法人上宮寺","","35.65062583","139.72071500"
"101","00002522","常照院本堂内陣","","登録有形文化財(建造物)","宗教","建築物","","江戸","20011120","","東京都","東京都港区芝公園1-8-9","","宗教法人常照院","","35.65763500","139.75201400"
"101","00002525","心光院表門","","登録有形文化財(建造物)","宗教","建築物","","江戸","20011120","","東京都","東京都港区東麻布1-1-5","","宗教法人心光院","","35.65802984","139.74438215"
"101","00011480","心光院本堂","","登録有形文化財(建造物)","宗教","建築物","","昭和中","20170502","","東京都","東京都港区東麻布一丁目1-1","","宗教法人心光院","","35.65838777","139.74426888"
"101","00009925","新井家住宅外蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","20140425","","東京都","東京都調布市入間町1-4","","","","35.65243178","139.58497752"
"101","00009926","新井家住宅旧蚕室","","登録有形文化財(建造物)","住宅","建築物","","明治","20140425","","東京都","東京都調布市入間町1-4","","","","35.65248598","139.58511271"
